Run,Seed,n_estimators,max_depth,min_samples_split,min_samples_leaf,RMSE,MAE,R2
1,42,150,50.0,3,1,0.7463332750562732,0.5572741776197662,0.9896238559976657
2,43,72,20.0,2,1,0.7252887201503222,0.5388333752304342,0.9902007637773826
3,44,70,20.0,2,1,0.725733057163513,0.5389248006895067,0.9901887533958906
4,45,71,20.0,2,1,0.725450400636998,0.538408429460625,0.9901963944225929
5,46,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
6,47,114,20.0,2,1,0.7269405523854063,0.5424623965645637,0.9901560777750321
7,48,154,20.0,2,1,0.7098450539576876,0.5327731617122372,0.9906136336293778
8,49,71,20.0,2,1,0.725450400636998,0.538408429460625,0.9901963944225929
9,50,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
10,51,112,20.0,2,1,0.7241952081452454,0.5403925993474312,0.9902302899626204
11,52,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
12,53,116,20.0,2,1,0.725237363770827,0.540540553091263,0.9902021514605577
13,54,113,20.0,2,1,0.725815852635773,0.5416468833959724,0.9901865146302032
14,55,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
15,56,115,,2,1,0.7261153469517944,0.541245327562463,0.99017841425748
16,57,119,20.0,2,1,0.7211805965135408,0.5381718298179001,0.990311457530223
17,58,114,20.0,2,1,0.7269405523854063,0.5424623965645637,0.9901560777750321
18,59,71,,2,1,0.7248855831181529,0.53827034605825,0.990211654163553
19,60,116,20.0,2,1,0.725237363770827,0.540540553091263,0.9902021514605577
20,61,182,50.0,5,1,0.8937791576715781,0.6679962210708759,0.9851190442103206
21,62,92,50.0,2,1,0.720766318193715,0.5387443438914027,0.9903225853954924
22,63,94,50.0,2,1,0.7217884422990726,0.5398575142004428,0.9902951187059058
23,64,116,20.0,3,1,0.7590413785226676,0.563197613815641,0.9892674904411061
24,65,116,20.0,2,1,0.725237363770827,0.540540553091263,0.9902021514605577
25,66,74,20.0,2,1,0.7213818891615398,0.5364844482491541,0.9903060483316161
26,67,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
27,68,115,20.0,2,1,0.7264580018340684,0.5414340987231012,0.9901691424292713
28,69,92,20.0,2,1,0.7213841911479884,0.5391378123155617,0.9903059864631902
29,70,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
30,71,114,20.0,2,1,0.7269405523854063,0.5424623965645637,0.9901560777750321
