Run,Seed,C,epsilon,kernel,RMSE,MAE,R2
1,42,852.3289980931934,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
2,43,959.4104088938683,0.03649189224337271,linear,0.01474532584418104,0.01173822836392544,0.9999959497751993
3,44,108.55410753969971,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
4,45,318.3130075321739,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
5,46,364.07407032802587,0.046604919647379006,linear,0.018826928316141613,0.015005590130371418,0.9999933971821223
6,47,565.6984964106915,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
7,48,490.79840451350736,0.05007723277169589,linear,0.020248403839444047,0.016140648834541672,0.9999923624868977
8,49,532.2672950037667,0.08465393688333067,linear,0.03438411930548662,0.027422866451113283,0.9999779765075119
9,50,925.6005876884021,0.18036812789118498,linear,0.0732852325013413,0.05838988314849689,0.9998999531727694
10,51,987.4030675943421,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
11,52,490.03856236769496,0.0951797490064954,linear,0.03862640529320137,0.030779903126526023,0.999972206773506
12,53,198.48216467972955,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
13,54,939.4802787956463,0.17431101392313936,linear,0.07076432239653835,0.056379748006855974,0.9999067177344361
14,55,308.5659515256138,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
15,56,901.9370344068426,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
16,57,568.4099822757822,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
17,58,274.75256232842327,0.039522184998901616,linear,0.015960490138937383,0.012713391408146802,0.9999952547092338
18,59,552.187265863978,0.019669562793810026,linear,0.007947918340215172,0.006313223153488611,0.9999988232690584
19,60,974.3305107679566,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
20,61,630.3932388546862,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
21,62,927.9987667210866,0.09418468233802492,linear,0.03826856836022133,0.030502275012801634,0.999972719343874
22,63,222.54995601681227,0.05672394268840088,linear,0.023009598090213235,0.018330109498641577,0.9999901374675253
23,64,50.171618590808556,0.061153520496587004,linear,0.024835804965194615,0.019809659845128634,0.9999885098192163
24,65,739.907922691547,0.08174329083647525,linear,0.03318943480059318,0.026470263675512386,0.9999794803431516
25,66,728.2064335138649,0.20248460840895402,linear,0.08222732649094275,0.06551046466631646,0.9998740486808466
26,67,813.1520608234216,0.21567898190723317,linear,0.08758888093078407,0.06977733292804505,0.9998570881188827
27,68,412.70206695575234,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
28,69,879.8310272151667,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
29,70,860.9119897657647,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
30,71,476.2991237883373,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
