Run,n_estimators,max_depth,min_samples_split,min_samples_leaf,RMSE,MAE,R2
1,114,50.0,2,1,0.726587748533537,0.5422719695165517,0.9901656304981625
2,72,20.0,2,1,0.7252887201503222,0.5388333752304342,0.9902007637773826
3,200,,2,1,0.7064268638911952,0.5316968325791855,0.9907038142525671
4,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
5,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
6,114,,2,1,0.726587748533537,0.5422719695165517,0.9901656304981625
7,114,50.0,2,1,0.726587748533537,0.5422719695165517,0.9901656304981625
8,92,,2,1,0.720766318193715,0.5387443438914027,0.9903225853954924
9,114,20.0,2,1,0.7269405523854063,0.5424623965645637,0.9901560777750321
10,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
11,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
12,72,20.0,2,1,0.7252887201503222,0.5388333752304342,0.9902007637773826
13,114,50.0,2,1,0.726587748533537,0.5422719695165517,0.9901656304981625
14,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
15,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
16,180,20.0,2,1,0.7103514257003427,0.5341841437429673,0.9906002372241894
17,114,,2,1,0.726587748533537,0.5422719695165517,0.9901656304981625
18,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
19,92,,2,1,0.720766318193715,0.5387443438914027,0.9903225853954924
20,200,,2,1,0.7064268638911952,0.5316968325791855,0.9907038142525671
21,114,,2,1,0.726587748533537,0.5422719695165517,0.9901656304981625
22,114,20.0,2,1,0.7269405523854063,0.5424623965645637,0.9901560777750321
23,72,20.0,2,1,0.7252887201503222,0.5388333752304342,0.9902007637773826
24,200,,2,1,0.7064268638911952,0.5316968325791855,0.9907038142525671
25,180,,2,1,0.710220624768923,0.5341817496229261,0.9906036985659553
26,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
27,200,20.0,2,1,0.7066064328965063,0.5319392372333549,0.9906990875948577
28,114,50.0,2,1,0.726587748533537,0.5422719695165517,0.9901656304981625
29,114,50.0,2,1,0.726587748533537,0.5422719695165517,0.9901656304981625
30,114,,2,1,0.726587748533537,0.5422719695165517,0.9901656304981625
