Run,C,epsilon,kernel,RMSE,MAE,R2
1,85.73506327474229,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
2,683.5797470102459,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
3,597.8631938214239,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
4,537.8425666881308,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
5,762.0995475147397,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
6,845.8386496969256,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
7,152.84442840342783,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
8,548.4025504497598,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
9,429.2124053865672,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
10,75.46599173803867,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
11,327.3622314270417,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
12,474.430076732681,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
13,456.1698377569407,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
14,242.77373818035875,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
15,251.3396788969659,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
16,243.9030740850786,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
17,168.25505081981345,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
18,227.6887176263652,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
19,566.3476825703307,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
20,341.37818278518785,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
21,411.8306658602429,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
22,707.4999405780494,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
23,434.8247182102732,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
24,259.4278570818417,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
25,167.36969734883834,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
26,1000.0,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
27,520.9429748033263,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
28,351.9948696747239,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
29,2.4861170462884274,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
30,299.9168723294688,0.01,linear,0.004093005098145679,0.0032577199596401777,0.9999996879278941
